f_01,f_02,f_03,f_04,f_05,f_06,f_07,f_08,f_09,f_10,f_11,f_12,res,level
0.001852102,0.10387294,0.005734801,0.006357764,0.412221458,0.011607745,0.023317848,0.010000657,0.00879329,0.409427386,0.00409745,0.00271656,a,1
0.002388553,0.083556669,0.009457326,0.00525778,0.242893988,0.009573805,0.019560488,0.011655368,0.015166949,0.565004059,0.00574838,0.029736635,a,1
0.001312343,0.100607268,0.011612353,0.006385137,0.329793833,0.015495629,0.030767163,0.007767525,0.017985528,0.471700069,0.002758155,0.003814997,a,1
0.002225457,0.136607298,0.015313108,0.0052792,0.289958027,0.020487183,0.01284069,0.003039104,0.006015125,0.489912122,0.007571835,0.010750852,a,1
0.001439024,0.107827341,0.010896704,0.00544046,0.32187932,0.018743942,0.019500367,0.006065402,0.015891295,0.449978849,0.00672327,0.035614026,a,1
0.004308035,0.108507539,0.016451983,0.006083275,0.135115882,0.017291642,0.029005188,0.066174375,0.032372972,0.539499121,0.004518753,0.040671236,a,1
0.001692646,0.131990931,0.010831284,0.007060783,0.301172417,0.008025772,0.005957948,0.009332647,0.010406088,0.49303532,0.01183899,0.008655173,a,1
0.00280716,0.100504027,0.006140939,0.007565595,0.36206141,0.010285605,0.045133048,0.032261216,0.029198677,0.360516567,0.004509657,0.039016097,a,1
0.000955164,0.057690905,0.004423574,0.004374612,0.303539544,0.010970853,0.039240438,0.018627339,0.011674902,0.524406516,0.004027047,0.020069107,a,1
0.001443064,0.107889238,0.008465167,0.00547112,0.368715264,0.005065707,0.010078028,0.007859056,0.006652838,0.458810989,0.005509855,0.014039674,a,1
0.001293386,0.142331777,0.007645317,0.007937417,0.368302964,0.046330225,0.023714923,0.013795171,0.009663812,0.368089936,0.006506033,0.004389038,a,1
0.001865106,0.315800378,0.00961738,0.008659487,0.07647524,0.038203434,0.021222399,0.010533324,0.011673349,0.492621966,0.005764899,0.007563038,a,1
0.000987271,0.086661334,0.006821107,0.012948762,0.413177571,0.003769908,0.023213923,0.010825484,0.006214519,0.415552587,0.002572793,0.017254741,a,1
0.002784235,0.099141571,0.010232724,0.004392382,0.301880359,0.010296118,0.0190797,0.027631307,0.019491226,0.477853864,0.005540677,0.021675838,a,1
0.001147836,0.084472691,0.00663088,0.00603048,0.287448803,0.016168471,0.021763883,0.00482507,0.007895361,0.537891411,0.005465933,0.02025918,a,1
0.002221387,0.088140706,0.005892016,0.005985176,0.361760612,0.008969676,0.036979135,0.029651981,0.032872994,0.361540131,0.002693119,0.063293067,a,1
0.00209143,0.084065568,0.005997963,0.01140836,0.389282289,0.029478281,0.014977323,0.009326221,0.007458073,0.420772682,0.005028523,0.020113286,a,1
0.00309645,0.10552814,0.00974683,0.019445851,0.369051916,0.021109753,0.052327033,0.016223217,0.008782927,0.370224278,0.008465984,0.015997621,a,1
0.003964816,0.12728739,0.006790363,0.014802156,0.375026039,0.012370363,0.023223303,0.027757574,0.015986263,0.373823883,0.006446918,0.012520932,a,1
0.001574985,0.068425045,0.010157275,0.006470264,0.333168965,0.009148065,0.037690032,0.008526904,0.011183351,0.50549698,0.004793939,0.003364194,a,1
0.002336214,0.201308931,0.01688471,0.007192056,0.204992019,0.009696282,0.015526816,0.019061061,0.01136121,0.501167148,0.004485603,0.005987949,a,1
0.001584988,0.10185612,0.021826244,0.01129744,0.563339064,0.022120278,0.023960827,0.007952571,0.006393396,0.210207849,0.003914288,0.025546935,a,1
0.0017159,0.053837466,0.01889013,0.005172821,0.36622611,0.010359068,0.02048514,0.030809192,0.011547146,0.442730828,0.002702621,0.035523578,a,1
0.001612318,0.07114188,0.008720909,0.007330109,0.292362637,0.016797526,0.03011647,0.012234182,0.029269765,0.473820457,0.007540806,0.04905294,a,1
0.001659566,0.147751337,0.00658506,0.012459945,0.348846133,0.024491635,0.017085353,0.015133025,0.009722928,0.396565279,0.008169536,0.011530203,a,1
0.001150116,0.116537378,0.002962728,0.003571237,0.270101229,0.006662153,0.002349203,0.013564255,0.04365968,0.507764087,0.006167526,0.025510409,a,1
0.004000269,0.140301144,0.004160943,0.005967301,0.228675206,0.01156928,0.006220856,0.061109618,0.072354947,0.424092132,0.007817715,0.033730587,a,1
0.001242461,0.107706129,0.001743863,0.003050244,0.200086405,0.00408277,0.003257621,0.027851074,0.033958365,0.590033477,0.014052165,0.012935425,a,1
0.002156709,0.204683114,0.005571983,0.005250302,0.132347223,0.009141443,0.004931577,0.018925658,0.048863446,0.511495688,0.008469578,0.048163279,a,1
0.002325069,0.088157501,0.00167975,0.001976331,0.220660943,0.003362229,0.002776125,0.012346104,0.04356098,0.598164621,0.0079594,0.017030948,a,1
0.001042463,0.097096494,0.002435744,0.002005752,0.278435602,0.004155903,0.004364508,0.007854031,0.032498137,0.534074663,0.007266105,0.028770599,a,1
0.001580247,0.242412013,0.003418204,0.001562866,0.234025429,0.003542902,0.004205302,0.012411477,0.024653841,0.456396757,0.007734698,0.008056264,a,1
0.001218199,0.213553822,0.002565653,0.001969411,0.215212845,0.003448838,0.002928834,0.010000874,0.025153262,0.501759589,0.010244654,0.01194402,a,1
0.00164854,0.253367282,0.005015482,0.003535522,0.156735062,0.005837771,0.004563833,0.005681583,0.010241168,0.474425102,0.042713841,0.036234815,a,1
0.003095211,0.33243288,0.004990077,0.00598271,0.117534217,0.004192406,0.010448843,0.088129694,0.088293226,0.313618458,0.021642717,0.009639562,a,1
0.002413833,0.205575429,0.003965801,0.003863374,0.154180501,0.004987134,0.004156194,0.022053895,0.093373818,0.454120399,0.007696539,0.043613084,a,1
0.004656631,0.105035944,0.014909402,0.006020424,0.255899072,0.012824365,0.011825773,0.086082767,0.122964092,0.297848763,0.017021355,0.064911411,a,1
0.001324981,0.084040933,0.00127609,0.002444031,0.128463354,0.003020116,0.004841404,0.018414442,0.056474624,0.676027524,0.011382592,0.01228991,a,1
0.00202864,0.020312255,0.001371332,0.005100729,0.104205523,0.00113287,0.001453051,0.005191705,0.027589068,0.813166881,0.01164875,0.006799197,a,1
0.003904737,0.054826515,0.002820925,0.007778271,0.308496166,0.007228657,0.005025417,0.060730052,0.078598695,0.463819767,0.003024763,0.003746036,a,1
0.00261368,0.214434865,0.004330503,0.003645944,0.424148105,0.016368039,0.011679782,0.01290632,0.028916726,0.261449693,0.009852287,0.009654055,a,1
0.00277077,0.179007291,0.001875693,0.002410939,0.25229099,0.005912169,0.002645179,0.030399087,0.036535598,0.465335808,0.014514725,0.006301752,a,1
0.002027028,0.15985563,0.002036808,0.002764242,0.274475076,0.004961719,0.003693938,0.015920968,0.041691162,0.457848803,0.0078048,0.026919827,a,1
0.000789369,0.076451162,0.001052474,0.002108742,0.176879606,0.002518621,0.003276796,0.019623593,0.060796852,0.645083173,0.007601692,0.003817919,a,1
0.003060129,0.231405573,0.002302958,0.002189419,0.24994314,0.002282187,0.005171948,0.011546802,0.027126885,0.4468569,0.007743938,0.010370121,a,1
0.003022852,0.112502893,0.01578736,0.001429247,0.082050161,0.003719334,0.000875958,0.007839044,0.030385265,0.701087151,0.029960342,0.011340394,a,1
0.0040554,0.20099696,0.002358806,0.005632483,0.051452307,0.00886751,0.00103449,0.020645633,0.034357814,0.60945886,0.054490689,0.00664905,a,1
0.001685512,0.189193304,0.00220579,0.007401937,0.318287237,0.010820771,0.010504183,0.036190977,0.0537504,0.346888753,0.008437171,0.014633966,a,1
0.001315309,0.13955722,0.002341508,0.00239031,0.143399504,0.005083352,0.002961113,0.014371441,0.054500056,0.620611321,0.010076872,0.003391993,a,1
0.001977863,0.150094064,0.003189761,0.00246225,0.116218396,0.005124522,0.003136969,0.016914425,0.032128999,0.655419608,0.008583042,0.004750102,a,1
0.001252955,0.144998223,0.001554312,0.00373856,0.316790549,0.012329112,0.003542557,0.012094553,0.010543034,0.478334787,0.001734901,0.013086457,a,1
0.001124437,0.109197175,0.001665328,0.004499457,0.264385731,0.005563126,0.009815948,0.008954382,0.019052129,0.561469054,0.003303873,0.010969361,a,1
0.001474589,0.134087594,0.003214303,0.004809742,0.232503495,0.008062266,0.010690046,0.015742722,0.014249147,0.55425753,0.003043446,0.017865121,a,1
0.001305483,0.153301166,0.001788643,0.003059451,0.207220617,0.013516054,0.007239746,0.005868683,0.011475361,0.58174512,0.003906221,0.009573455,a,1
0.002368784,0.125022694,0.003875328,0.003981166,0.2996108,0.016828672,0.009714122,0.00841232,0.04913374,0.428150923,0.002854428,0.050047023,a,1
0.003907196,0.140689511,0.004477987,0.005887991,0.328296892,0.026108435,0.029056266,0.013955967,0.014706756,0.408846101,0.004650362,0.019416537,a,1
0.001757964,0.099969027,0.003469953,0.006270887,0.274439463,0.012652906,0.021449902,0.009807428,0.024022056,0.528581054,0.00426508,0.013314281,a,1
0.000882433,0.19207192,0.002779133,0.002751577,0.259242072,0.013837635,0.01073614,0.007053272,0.007353244,0.489110054,0.00532451,0.008858011,a,1
0.00171459,0.249487304,0.006335444,0.004154015,0.245541208,0.00929089,0.003912591,0.004666355,0.007249203,0.404940009,0.006945508,0.055762882,a,1
0.003013135,0.232837413,0.008548552,0.013282379,0.230339233,0.007892207,0.009719761,0.009024256,0.009480487,0.45651876,0.007540616,0.0118032,a,1
0.002916096,0.186301696,0.003202844,0.004483084,0.246216592,0.009719897,0.013463687,0.017279725,0.011581448,0.496073891,0.006615843,0.002145198,a,1
0.00112659,0.086646471,0.004295444,0.005575564,0.298184759,0.011046909,0.015720339,0.019768607,0.026652831,0.492990582,0.006220969,0.031770934,a,1
0.001714478,0.138996956,0.001334148,0.004577218,0.332054718,0.007290077,0.014439374,0.007183964,0.011570584,0.470830797,0.002172205,0.007835479,a,1
0.00107661,0.096780677,0.00237767,0.004907186,0.324768268,0.010307822,0.016205988,0.007430229,0.010739047,0.513868181,0.004013241,0.007525081,a,1
0.00149258,0.087814678,0.002871613,0.005077781,0.33768943,0.011771867,0.011563409,0.024290478,0.048838636,0.415037603,0.005205673,0.04834625,a,1
0.000660008,0.103798617,0.003102755,0.003038707,0.289302262,0.01417838,0.010143957,0.005512441,0.009072729,0.551997864,0.002266892,0.006925389,a,1
0.001617962,0.096698354,0.004623656,0.006067443,0.337958682,0.01300301,0.018359711,0.01154059,0.019680777,0.469560792,0.004648565,0.016240458,a,1
0.003809167,0.090052659,0.003218322,0.003625021,0.355742046,0.02907636,0.034846608,0.009272354,0.036311671,0.381186338,0.007453791,0.045405664,a,1
0.001832181,0.271960379,0.00227052,0.004251471,0.114712665,0.012651219,0.003852464,0.009793177,0.023054799,0.549617777,0.00264759,0.003355759,a,1
0.004175693,0.101662926,0.005689767,0.010827533,0.61725545,0.013848861,0.018521384,0.010775181,0.047596363,0.130686698,0.006263924,0.032696222,a,1
0.001240995,0.141010562,0.00238044,0.004360564,0.21064547,0.006985638,0.011297554,0.010916385,0.020449611,0.582850597,0.003799098,0.004063087,a,1
0.004462917,0.134064373,0.010936491,0.013218231,0.372309215,0.020979502,0.005073706,0.006144395,0.018870168,0.393810043,0.005141213,0.014989746,a,1
0.001537106,0.195040873,0.002282779,0.003334976,0.278098715,0.010564098,0.005374033,0.009600827,0.014821403,0.4609565,0.004954496,0.013434194,a,1
0.00336705,0.170126615,0.004857454,0.013827682,0.299265114,0.05033189,0.029345009,0.023647076,0.015022301,0.37137649,0.007065916,0.011767402,a,1
0.00119502,0.183427165,0.006142337,0.003929144,0.16171461,0.009407001,0.009439683,0.010118329,0.013594002,0.592600231,0.004031487,0.004400992,a,1
0.00274691,0.065672632,0.002694365,0.006950785,0.392750879,0.027981767,0.009175834,0.010860741,0.019120735,0.450243905,0.003343358,0.008458088,a,1
0.001500512,0.082397688,0.002918891,0.008988483,0.253200739,0.028622228,0.006598685,0.01768728,0.049940379,0.536904557,0.002175424,0.009065135,a,1
